Date,TCS.NS,INFY.NS,HDFCBANK.NS,RELIANCE.NS,ICICIBANK.NS
2018-02-14,1217.38427734375,441.0375061035156,439.3736267089844,412.42218017578125,306.3636779785156
2018-02-15,1223.258544921875,447.7469787597656,439.0819091796875,413.3056640625,315.680908203125
2018-02-16,1226.2685546875,453.21099853515625,438.31201171875,406.9668273925781,308.3808288574219
2018-02-19,1222.3177490234375,454.6976013183594,438.2186279296875,409.48468017578125,307.13214111328125
2018-02-20,1231.160400390625,456.7867431640625,434.7188720703125,406.87841796875,304.73077392578125
2018-02-21,1271.9443359375,460.9852294921875,433.3656311035156,410.522705078125,306.6038513183594
2018-02-22,1275.2474365234375,466.3487854003906,432.38568115234375,408.3140869140625,305.7873840332031
2018-02-23,1285.95068359375,464.2997741699219,438.76702880859375,412.6872253417969,310.0137634277344
2018-02-26,1267.5128173828125,457.4496154785156,445.9998779296875,414.6529541015625,314.1440734863281
2018-02-27,1271.9654541015625,462.1102294921875,443.9000244140625,419.8653259277344,309.43743896484375
2018-02-28,1268.9136962890625,471.109619140625,439.6185607910156,421.65435791015625,300.8886413574219
2018-03-01,1270.0213623046875,466.3487854003906,437.32037353515625,418.93768310546875,292.9161682128906
2018-03-05,1298.513916015625,464.400146484375,436.29376220703125,408.2036437988281,291.3793029785156
2018-03-06,1272.1536865234375,462.5721130371094,430.7641296386719,402.3507385253906,283.4068603515625
2018-03-07,1265.7359619140625,459.6593933105469,427.579345703125,393.03021240234375,275.3863830566406
2018-03-08,1255.9107666015625,464.70147705078125,432.3040466308594,402.61572265625,285.23187255859375
2018-03-09,1268.5159912109375,467.4134216308594,431.88409423828125,403.3445739746094,281.1495666503906
2018-03-12,1276.0625,476.39288330078125,435.66387939453125,410.94232177734375,288.7858581542969
2018-03-13,1206.9322509765625,475.609375,434.03057861328125,411.6270751953125,292.33984375
2018-03-14,1206.973876953125,474.4040222167969,435.022216796875,410.3902282714844,293.97271728515625
2018-03-15,1199.7828369140625,475.087158203125,438.8252868652344,402.7703552246094,289.5543212890625
2018-03-16,1181.3870849609375,470.8283386230469,432.3390197753906,397.58001708984375,286.33648681640625
2018-03-19,1183.602783203125,460.7240295410156,430.9974670410156,395.5701599121094,282.9265441894531
2018-03-20,1197.755126953125,467.8753662109375,429.1892395019531,393.0522766113281,280.4772033691406
2018-03-21,1194.368408203125,469.0606384277344,433.7156066894531,396.18853759765625,277.7876892089844
2018-03-22,1183.7493896484375,466.56964111328125,435.7804870605469,401.15802001953125,272.0724792480469
2018-03-23,1178.2305908203125,469.10076904296875,429.6675720214844,394.8633728027344,264.6763000488281
2018-03-26,1177.7498779296875,464.1390380859375,441.7768249511719,398.0438537597656,270.53558349609375
2018-03-27,1190.5850830078125,463.6367492675781,441.5783996582031,397.4695739746094,272.69683837890625
2018-03-28,1191.1912841796875,454.7176513671875,440.0618896484375,389.9159851074219,267.3658142089844
2018-04-02,1216.4853515625,456.86712646484375,450.5845642089844,394.4436950683594,251.51699829101562
2018-04-03,1217.1541748046875,458.19287109375,447.0148010253906,397.3591613769531,259.3933410644531
2018-04-04,1217.0079345703125,451.6640930175781,439.3969421386719,395.3051452636719,258.04864501953125
2018-04-05,1236.6790771484375,461.0455017089844,445.38153076171875,401.18011474609375,267.6540222167969
2018-04-06,1233.4803466796875,452.7890930175781,448.7646484375,402.4169616699219,269.5751037597656
2018-04-09,1222.44287109375,446.4613952636719,452.4161376953125,404.6256103515625,269.7672119140625
2018-04-10,1228.1712646484375,447.3251953125,448.1697082519531,405.0894470214844,277.4034423828125
